_ID_;_OPTIONS_
65;"select|Размер трусиков|XXL(44)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|XL(42)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|L(40)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|M(38)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|S(36)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
66;"select|Размер трусиков|XXXL(46)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|XXL(44)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|XL(42)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
67;"select|Размер бюста|70A|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80A|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75A|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|XL(42)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|L(40)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|M(38)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|S(36)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
68;"select|Размер бюста|80D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80F|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|85C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|85D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|90D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70F|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75F|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75G|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80G|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|85B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|85E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|90B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|90C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|90E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|95B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|95C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|95D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|85F|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|XXL(44)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|XL(42)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|L(40)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|M(38)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|S(36)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
69;"select|Размер бюста|70A|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80A|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75A|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
70;"select|Размер трусиков|XL(42)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|L(40)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|M(38)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|S(36)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
71;"select|Размер бюста|80D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|XXL(44)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|XL(42)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|L(40)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|M(38)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
72;"select|Размер бюста|80D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80F|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|85C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|85D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|90D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75F|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75G|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80G|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|85B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|85E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|90B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|90C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|90E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|95B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|95C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|95D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|85F|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|XXL(44)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|XL(42)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|L(40)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|M(38)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|S(36)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
73;"select|Размер бюста|80D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70F|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75D|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75F|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75G|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|80E|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70C|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|75B|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер бюста|70G|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
74;"select|Размер трусиков|XXL(44)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|XL(42)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|L(40)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|M(38)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер трусиков|S(36)|1|1|1|-|0.0000|+|0|+|0.00000000|no_image.jpg"
