_ID_;_MODEL_;_STATUS_;_OPTIONS_
12267;"Envie ARKAS brown x sale";1;select|Размер|XL/XXL|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12268;"Envie POLO ROSES p sale";1;select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12271;"Eldar ROXANA top sale";1;"image|Цвет|Черный|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12273;"Envie ACTION p grey sale";1;
12274;"Envie ENDU p blue sale";1;
12275;"Envie SPORTING p sale";1;
12277;"Corin Eva 53851 k sale";1;select|Размер|S(36)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12278;"Eldar selena f micro sale";1;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|L|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12280;"Zaffiro sale";1;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|90C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12281;"Ava 740 b Intimo sale";1;"select|Размер|80C|1|2|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75D|1|1|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|1|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Белый|1|2|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12282;"Corin Naomi 15829 b sale";1;select|Размер|85B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12283;"Gaia 48 Hortensja b sale";1;"select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12284;"Alles Calais b sale";1;"select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70D|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12285;"11780 бюст sale";1;"image|Цвет|Черный|1|0|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|80A|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70A|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12286;"Alles Mama II/B soft sale";1;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12287;"KEY TBC 601 B4 bra pink  sale";1;select|Размер|70BB|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
