_ID_;_MODEL_;_OPTIONS_
12258;"Eldar PAOLA top";"select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|S(36)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L(40)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XL(42)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XXL(44)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XXXL(46)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12259;"Shato 617 x";"select|Размер|L(40)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XL(42)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XXL(44)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Аквамарин|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/aque.jpg"
12260;"Key LPR 097 B5 slip";"select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L(40)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12261;"Key LPR 535 B5 slip";"select|Размер|L(40)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XL(42)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12262;"Key LPR 575 B5 slip";"select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L(40)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12263;"Key LPR 585 B5 slip";select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12264;"Key LPR 909 B5 slip";"select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|L(40)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12265;"Key LPC 010 slip";"select|Размер|M(38)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12266;"Envie IRIS banana x";select|Размер|S/M|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12267;"Envie ARKAS brown x";select|Размер|XL/XXL|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
