_ID_;_NAME_;_STATUS_;_OPTIONS_
12258;"Женская кружевная блузка с коротким рукавом Eldar Paola";1;"image|Цвет|Черный|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|L(40)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|S(36)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12259;"Роскошный теплый хлопковый халат ""тюльпан"" Shato 617";1;"image|Цвет|Аквамарин|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/aque.jpg
select|Размер|L(40)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XXL(44)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|XL(42)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12260;"Хлопковые женские трусики бикини слип Key LPR 097 B5 (2шт)";1;"select|Размер|L(40)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12261;"Хлопковые женские трусики бикини слип Key LPR 535 B5 (2шт)";1;select|Размер|L(40)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12262;"Хлопковые женские трусики бикини слип Key LPR 575 B5 (2шт)";1;"select|Размер|L(40)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12263;"Хлопковые женские трусики бикини слип Key LPR 585 B5 (2шт)";1;select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12264;"Хлопковые женские трусики бикини слип Key LPR 909 B5 (2шт)";1;select|Размер|L(40)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12265;"Хлопковые женские трусики слип Key LPC 010 (2шт в одном цвете)";1;"image|Цвет|Черный|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|M(38)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12266;"Женский плюшевый халат с капюшоном Envie IRIS banana";1;select|Размер|S/M|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12267;"Мужской плюшевый халат Envie ARKAS brown";1;select|Размер|XL/XXL|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12268;"Женская хлопковая пижама Envie POLO ROSES";1;"select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12269;"Женская хлопковая пижама Envie ROSES";1;select|Размер|S(36)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12271;"Женская кружевная блузка с рукавом 3/4 Eldar Roxana";1;"select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12272;"Женская хлопковая пижама/домашний комплект Envie DJ PILLOW";1;select|Размер|M(38)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12273;"Мужская хлопковая пижама/домашний комплект Envie ACTION grey";1;select|Размер|M(48)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12274;"Мужская хлопковая пижама/домашний комплект Envie ENDU blue";1;select|Размер|L(50)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12275;"Мужская хлопковая пижама/домашний комплект Envie SPORTING";1;select|Размер|M(48)|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12277;"Атласная ночная сорочка с кружевным лифом Corin Eva 53851";1;"image|Цвет|Темно-красный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/temno-krasnyj.jpg
select|Размер|S(36)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12278;"Бесшовные трусики бикини Eldar Selena";1;"select|Размер|L(40)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12280;"Атласный женский боди с уплотнёнными чашками Alles Zaffiro";1;"select|Размер|90C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12281;"Бюстгальтер балконет пуш-ап со съёмными бретелями Ava 740 Intimo";1;"image|Цвет|Черный|1|1|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Белый|1|2|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80C|1|2|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75D|1|1|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12282;"Бюстгальтер балконет пуш-ап со съёмными бретелями Corin Naomi 15829";1;select|Размер|85B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12283;"Бюстгальтер уплотнённый балконет Gaia 48 Hortensja";1;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12284;"Кружевной бюстгальтер балконет пуш-ап Alles Calais";1;"image|Цвет|Шампанский|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/shampanskij.jpg
select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70D|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12285;"Бюстгальтер мягкий кружевной без каркасов Milavitsa 11780";1;"select|Размер|80A|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70A|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|0|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12286;"Мягкий хлопковый бюстгальтер (без каркасов) для кормления Alles II/B";1;"select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12287;"Бюстгальтер для девочки KEY TBC 601 B4 pink";1;select|Размер|70BB|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12288;"Бюстгальтер для девочки Key TBC 601 B4 violet";1;"select|Размер|75AA|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70BB|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70AA|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12289;"Бюстгальтер-топ для девочки Key TBS 540 A4";1;"image|Цвет|Розовый|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/rozovyj.jpg
image|Цвет|Белый|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|75AA|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70BB|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12291;"Мягкий хлопковый бюстгальтер балконет для кормления Lupo 1324";1;select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12292;"Бюстгальтер мягкий для кормления Lupo 1334, вискоза ";1;select|Размер|85B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12293;"Мягкий бюстгальтер балконет для кормления Lupo 1381 white";1;select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
