_ID_;_MODEL_;_STATUS_;_OPTIONS_
12284;"Alles Calais b sale";1;"select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70D|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12285;"11780 бюст sale";1;"select|Размер|80A|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70A|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|0|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12286;"Alles Mama II/B soft sale";1;"select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12287;"KEY TBC 601 B4 bra pink  sale";1;select|Размер|70BB|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12288;"Key TBC 601 B4 bra violet sale";1;"select|Размер|75AA|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70BB|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70AA|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12289;"Key TBS 540 A4 bra sale";1;"image|Цвет|Розовый|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/rozovyj.jpg
image|Цвет|Белый|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|75AA|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70BB|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12291;"Lupo 1324 m sale";0;select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12292;"Lupo 1334 m sale";1;select|Размер|85B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12293;"Lupo 1381 soft white sale";1;select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12294;"Alles Mama Cubana soft sale";0;"image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12295;"Alles Mama Fruit m sale";0;select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12296;"11912 бюст м sale";1;"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12300;"Corin Florence skin 11827 m sale";1;select|Размер|90D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12301;"Corin Florence skin 12827 m sale";1;"select|Размер|90E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12302;"Corin Karen 12845 semi-soft sale";1;"select|Размер|85G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75G|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12303;"Corin Rosalie pink 12826 m sale";1;select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12305;"Kinga SV 274 Cannes semi-soft sale";1;select|Размер|85D|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12309;"Lupo 1344 m sale";1;select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12313;"Corin Rosalie pink 11826 m sale";1;"select|Размер|85F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12314;"Kinga 326 Miracle soft sale";1;"select|Размер|80C|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75D|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12316;"Kris line Amanda soft sale";1;"select|Размер|95C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|90C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85E|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12317;"11747/747 бюст sale";1;"image|Цвет|Черный|1|1|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Белый|1|1|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80F|1|1|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80D|1|1|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12318;"11748 бюст sale";1;"select|Размер|80C|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|1|+|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12320;"Alles Calais p-up sale";1;select|Размер|70B|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12321;"Alles Carla p-up sale";1;select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12323;"Alles Garden push-up granat sale";1;select|Размер|75B|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12324;"Alles Infini p-up sale";1;select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12325;"Alles Isabella p-up sale";1;select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12326;"Alles Izis p-up sale";1;"select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
